Andorra
Emiratos Árabes Unidos
Afganistán
Antigua y Barbuda
Anguila
Albania
Armenia
Antillas Neerlandesas
Angola
Antártida
Argentina
Samoa Americana
Austria
Australia
Aruba
Azerbaiyán
Bosnia-Herzegovina
Barbados
Bangladesh
Bélgica
Burkina Faso
Bulgaria
Bahrein
Burundi
Benin
Bermudas
Brunéi
Bolivia
Brasil
Bahamas
Bhután
Isla Bouvet
Botswana
Bielorrusia
Belice
Canadá
Islas Cocos [Keeling]
Congo [RDC]
República Centroafricana
Congo [República]
Suiza
Costa de Marfil
Islas Cook
Chile
Camerún
China
Colombia
Costa Rica
Cuba
Cabo Verde
Isla de Navidad
Chipre
República Checa
Alemania
Yibuti
Dinamarca
Dominica
República Dominicana
Argelia
Ecuador
Estonia
Egipto
Sáhara Occidental
Eritrea
España
Etiopía
Finlandia
Fiji
Islas Malvinas
Micronesia
Islas Faroe
Francia
Gabón
Reino Unido
Granada
Georgia
Guayana Francesa
Guernsey
Ghana
Gibraltar
Groenlandia
Gambia
Guinea
Guadalupe
Guinea Ecuatorial
Grecia
Islas Georgias del Sur y Sandwich del Sur
Guatemala
Guam
Guinea-Bissau
Guyana
Franja de Gaza
Hong Kong
Isla Heard e Islas McDonald
Honduras
Croacia
Haití
Hungría
Indonesio
Irlanda
Israel
Isla de Man
India
Territorio Británico del Océano Índico
Irak
Irán
Islandia
Italia
Jersey
Jamaica
Jordania
Japón
Kenia
Kirguizistán
Camboya
Kiribati
Comoras
San Cristóbal y Nieves
Corea del Norte
Corea del Sur
Kuwait
Islas Caimán
Kazajstán
Laos
Líbano
Santa Lucía
Liechtenstein
Sri Lanka
Liberia
Lesotho
Lituania
Luxemburgo
Letonia
Libia
Marruecos
Mónaco
Moldavia
Montenegro
Madagascar
Islas Marshall
Macedonia [ARYM]
Malí
Myanmar [Birmania]
Mongolia
Macao
Islas Marianas del Norte
Martinica
Mauritania
Montserrat
Malta
Mauricio
Maldivas
Malawi
México
Malasia
Mozambique
Namibia
Nueva Caledonia
Níger
Isla Norfolk
Nigeria
Nicaragua
Países Bajos
Noruega
Nepal
Nauru
Niue
Nueva Zelanda
Omán
Panamá
Perú
Polinesia Francesa
Papúa Nueva Guinea
Filipinas
Pakistán
Polonia
San Pedro y Miquelón
Islas Pitcairn
Puerto Rico
Territorios Palestinos
Portugal
Palau
Paraguay
Qatar
Reunión
Rumania
Serbia
Rusia
Ruanda
Arabia Saudí
Islas Salomón
Seychelles
Sudán
Suecia
Singapur
Santa Elena
Eslovenia
Svalbard y Jan Mayen
Eslovaquia
Sierra Leona
San Marino
Senegal
Somalia
Suriname
Santo Tomé y Príncipe
El Salvador
Siria
Swazilandia
Islas Turcas y Caicos
Chad
Territorios Australes Franceses
Togo
Tailandia
Tayikistán
Tokelau
Timor Oriental
Turkmenistán
Túnez
Tonga
Turquía
Trinidad y Tobago
Tuvalu
Taiwán
Tanzania
Ucrania
Uganda
Islas periféricas menores de EE. UU.
Estados Unidos
Uruguay
Uzbekistán
Ciudad del Vaticano
San Vicente y las Granadinas
Venezuela
Islas Vírgenes Británicas
Islas Vírgenes de los Estados Unidos
Vietnam
Vanuatu
Wallis y Futuna
Samoa
Kosovo
Yemen
Mayotte
Sudáfrica
Zambia
Zimbabue
